"Choice","Indicator","Function","Value","Group","Community","Research.Question","Calculation"
"yes","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","percentage","85.29","Quality checks","C3871","RQ3 select yes","count and percentage"
"yes","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","counts","23","Quality checks","C3947","RQ3 select yes","count and percentage"
"yes","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","percentage","100","Quality checks","C3947","RQ3 select yes","count and percentage"
"yes","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","counts","18","Quality checks","C4121","RQ3 select yes","count and percentage"
"yes","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","percentage","100","Quality checks","C4121","RQ3 select yes","count and percentage"
"no","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","counts","1","Quality checks","C4126","RQ3 select yes","count and percentage"
"no","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","percentage","3.57","Quality checks","C4126","RQ3 select yes","count and percentage"
"yes","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","counts","27","Quality checks","C4126","RQ3 select yes","count and percentage"
"yes","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","percentage","96.43","Quality checks","C4126","RQ3 select yes","count and percentage"
"yes","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","counts","19","Quality checks","C4140","RQ3 select yes","count and percentage"
"yes","Q11_12_Are_fresh_food_containers_suitable_for_handling_and_storage","percentage","100","Quality checks","C4140","RQ3 select yes","count and percentage"
"yes","Q11_13_Are_all_goods_in_labelled_containers_not_exceeding_their_best_use_before_use_by_date","counts","85","Quality checks","C3871","RQ3 select yes","count and percentage"
"yes","Q11_13_Are_all_goods_in_labelled_containers_not_exceeding_their_best_use_before_use_by_date","percentage","100","Quality checks","C3871","RQ3 select yes","count and percentage"
"yes","Q11_13_Are_all_goods_in_labelled_containers_not_exceeding_their_best_use_before_use_by_date","counts","79","Quality checks","C3947","RQ3 select yes","count and percentage"
"yes","Q11_13_Are_all_goods_in_labelled_containers_not_exceeding_their_best_use_before_use_by_date","percentage","100","Quality checks","C3947","RQ3 select yes","count and percentage"
"yes","Q11_13_Are_all_goods_in_labelled_containers_not_exceeding_their_best_use_before_use_by_date","counts","41","Quality checks","C4121","RQ3 select yes","count and percentage"
"yes","Q11_13_Are_all_goods_in_labelled_containers_not_exceeding_their_best_use_before_use_by_date","percentage","100","Quality checks","C4121","RQ3 select yes","count and percentage"
"yes","Q11_13_Are_all_goods_in_labelled_containers_not_exceeding_their_best_use_before_use_by_date","counts","55","Quality checks","C4126","RQ3 select yes","count and percentage"
"yes","Q11_13_Are_all_goods_in_labelled_containers_not_exceeding_their_best_use_before_use_by_date","percentage","100","Quality checks","C4126","RQ3 select yes","count and percentage"
"no","Q11_13_Are_all_goods_in_labelled_containers_not_exceeding_their_best_use_before_use_by_date","counts","1","Quality checks","C4140","RQ3 select yes","count and percentage"
